Client_ID,Annual_Income,Loan_Amount,Loan_Purpose,DTI_Ratio,Default_On_File,PD,Credit_Score,Risk_Rating,Decision,Expected_Loss
CL_00001,58300.0,23404,DEBT_CONSOLIDATION,0.2226591526586621,0,0.32637488456562885,670,Good,Approve,4583.086679024386
CL_00002,42500.0,15451,EDUCATION,0.21344193176470586,0,0.2834448086644988,694,Good,Approve,2627.7034432051023
CL_00003,20400.0,31964,DEBT_CONSOLIDATION,0.9004760196078432,1,0.8186725982678624,399,Poor,Reject,15700.830558620371
CL_00004,44100.0,6332,MEDICAL,0.07912128344671203,0,0.20042832411317266,739,Good,Approve,761.4672889707655
CL_00005,37700.0,27263,MEDICAL,0.42221492175066316,0,0.30846053132428386,680,Good,Approve,5045.73567929637
CL_00006,18300.0,21367,PERSONAL,0.6395505054644808,1,0.9624245745130156,320,Poor,Reject,12338.475530171761
CL_00007,75100.0,12918,DEBT_CONSOLIDATION,0.09111404260985352,0,0.150344187795512,767,Very Good,Approve,1165.2877307654544
CL_00008,70400.0,19119,VENTURE,0.14609468821022728,0,0.25700581232989755,708,Good,Approve,2948.2164755611866
CL_00009,18300.0,20743,MEDICAL,0.5953127650273223,0,0.5100397599709734,569,Poor,Reject,6347.852844646741
CL_00010,24800.0,9876,EDUCATION,0.23393775000000003,1,0.8043140040639183,407,Poor,Reject,4766.043062481154
CL_00011,26100.0,7327,DEBT_CONSOLIDATION,0.16059043486590036,0,0.31144879001698367,678,Good,Approve,1369.1911706726635
CL_00012,52400.0,27914,VENTURE,0.3024726946564885,1,0.8593218648680805,377,Poor,Reject,14392.266321556557
CL_00013,48900.0,26524,VENTURE,0.3116976809815951,1,0.2723668162851191,700,Good,Approve,4334.554461087899
CL_00014,37300.0,29006,VENTURE,0.44636579088471856,1,0.4951575095814867,577,Poor,Reject,8617.523233752361
CL_00015,42800.0,11863,VENTURE,0.1572679018691589,0,0.21804392874294648,730,Good,Approve,1551.9930760065445
CL_00016,16800.0,34072,MEDICAL,1.1929256190476192,1,0.9847404984548291,308,Poor,Reject,20131.24695801176
CL_00017,45700.0,3397,PERSONAL,0.04148130962800876,0,0.18380916123506869,748,Very Good,Approve,374.639832429317
CL_00018,34200.0,16698,DEBT_CONSOLIDATION,0.28579457017543863,1,0.7881632123904185,416,Poor,Reject,7896.449592297125
CL_00019,24200.0,23451,MEDICAL,0.5659249586776859,1,0.4896930403753989,580,Fair,Reject,6890.2748939060875
CL_00020,14500.0,13417,PERSONAL,0.4996213206896553,1,0.47696953719902685,587,Fair,Reject,3839.7001683596054
CL_00021,36900.0,33954,VENTURE,0.5144169024390244,0,0.628975515659164,504,Poor,Reject,12813.740795214751
CL_00022,45000.0,33239,EDUCATION,0.4340274755555556,1,0.5671795466583687,538,Poor,Reject,11311.488570826508
CL_00023,13100.0,2564,VENTURE,0.11494940458015268,0,0.32043923163077054,673,Good,Approve,492.9637139407774
CL_00024,36700.0,27858,PERSONAL,0.39987995640326973,1,0.8280010599955006,394,Poor,Reject,13839.872117612791
CL_00025,39100.0,32845,PERSONAL,0.45508385549872116,0,0.44018503366357886,607,Fair,Approve,8674.726458408148
CL_00026,26000.0,18866,EDUCATION,0.40402264615384614,1,0.4744990621003201,589,Fair,Reject,5371.139583350783
CL_00027,45600.0,22266,MEDICAL,0.25808540131578944,1,0.2595453136089701,707,Good,Approve,3467.421571690397
CL_00028,33500.0,24362,EDUCATION,0.3960097641791045,0,0.3770520328419469,642,Fair,Approve,5511.444974457306
CL_00029,43000.0,13652,VENTURE,0.1728247953488372,0,0.7301940255203395,448,Poor,Reject,5981.165301842205
CL_00030,50000.0,14789,DEBT_CONSOLIDATION,0.160046558,0,0.2201455759145729,728,Good,Approve,1953.4397533203712
CL_00031,50100.0,13755,MEDICAL,0.1523071107784431,0,0.17466065778041198,753,Very Good,Approve,1441.47440866174
CL_00032,66800.0,31667,DEBT_CONSOLIDATION,0.27779733532934126,0,0.2067463166470874,736,Good,Approve,3928.22136555799
CL_00033,44500.0,3698,DEBT_CONSOLIDATION,0.045148840449438205,0,0.636838601348039,499,Poor,Reject,1413.017488671029
