Client_ID,Age,Annual_Income,Years_Employed,Home_Ownership,Loan_Amount,Loan_Purpose,Interest_Rate,Credit_History_Length_Years,Previous_Defaults,Monthly_Income,Estimated_Monthly_Payment,DTI_Ratio,Default_On_File
CL_00001,59,58300.0,9,RENT,23404,DEBT_CONSOLIDATION,10.93,17,0,4858.333333333333,1081.7523833333332,0.2226591526586621,0
CL_00002,72,42500.0,1,MORTGAGE,15451,EDUCATION,17.42,7,0,3541.6666666666665,755.9401749999998,0.21344193176470586,0
CL_00003,49,20400.0,14,RENT,31964,DEBT_CONSOLIDATION,14.94,14,0,1700.0,1530.8092333333334,0.9004760196078432,1
CL_00004,35,44100.0,3,OWN,6332,MEDICAL,10.21,13,0,3675.0,290.7707166666667,0.07912128344671203,0
CL_00005,63,37700.0,15,OWN,27263,MEDICAL,16.77,26,0,3141.6666666666665,1326.4585458333333,0.42221492175066316,0
CL_00006,28,18300.0,6,RENT,21367,PERSONAL,9.55,21,1,1525.0,975.3145208333332,0.6395505054644808,1
CL_00007,41,75100.0,11,OWN,12918,DEBT_CONSOLIDATION,5.94,2,0,6258.333333333333,570.22205,0.09111404260985352,0
CL_00008,59,70400.0,2,RENT,19119,VENTURE,7.59,16,0,5866.666666666667,857.0888375000001,0.14609468821022728,0
CL_00009,39,18300.0,16,MORTGAGE,20743,MEDICAL,5.04,29,0,1525.0,907.8519666666666,0.5953127650273223,0
CL_00010,43,24800.0,8,MORTGAGE,9876,EDUCATION,17.49,17,1,2066.6666666666665,483.47135000000003,0.23393775000000003,1
CL_00011,31,26100.0,7,MORTGAGE,7327,DEBT_CONSOLIDATION,14.41,6,0,2175.0,349.2841958333333,0.16059043486590036,0
CL_00012,31,52400.0,5,RENT,27914,VENTURE,13.56,1,1,4366.666666666667,1320.7974333333334,0.3024726946564885,1
CL_00013,44,48900.0,14,MORTGAGE,26524,VENTURE,14.93,6,0,4075.0,1270.16805,0.3116976809815951,1
CL_00014,73,37300.0,9,RENT,29006,VENTURE,14.8,1,0,3108.3333333333335,1387.453666666667,0.44636579088471856,1
