Property_ID,Neighborhood,Square_Feet,Bedrooms,Condition_Score,Listing_Price,Fair_Market_Value,Renovation_Cost,Total_Investment,Cap_Rate_Pct,ROI_Pct,Action_Recommendation
PROP_0000,Seaport,1460,3,8,1485415.27,1539486.67,0,1485415.27,4.35,3.64,Pass
PROP_0001,Beacon Hill,730,5,8,898079.89,930769.0,0,898079.89,4.15,3.64,Pass
PROP_0002,Beacon Hill,2115,2,10,2177545.24,2170311.0,0,2177545.24,3.99,-0.33,Pass
PROP_0003,Seaport,2647,4,3,2454947.22,2623280.33,117435,2572382.22,4.28,1.98,Pass
PROP_0004,South End,1867,1,9,1599133.88,1504994.0,0,1599133.88,4.24,-5.89,Pass
PROP_0005,Back Bay,2814,2,9,3866656.03,3437427.0,0,3866656.03,3.38,-11.1,Pass
PROP_0006,Back Bay,2963,2,4,3319877.36,3648601.0,73483,3393360.36,4.09,7.52,Pass
PROP_0007,Back Bay,2078,4,3,2544339.98,2660759.0,130077,2674416.98,3.78,-0.51,Pass
PROP_0008,Seaport,2555,2,6,2336339.81,2504145.67,23417,2359756.81,4.46,6.12,Pass
PROP_0009,Beacon Hill,2100,2,2,2730532.25,2222409.0,87065,2817597.25,3.16,-21.12,Pass
PROP_0010,Seaport,2581,4,2,2199276.68,2591539.33,132798,2332074.68,4.67,11.13,Pass
PROP_0011,Seaport,1676,2,9,1279462.48,1677970.67,0,1279462.48,5.51,31.15,Buy
PROP_0012,Dorchester,1780,5,3,1044895.6,960984.0,111858,1156753.6,4.98,-16.92,Pass
PROP_0013,Beacon Hill,2936,3,10,3484088.7,3074660.0,0,3484088.7,3.53,-11.75,Pass
PROP_0014,Dorchester,2878,2,2,1315734.37,1253451.0,102256,1417990.37,5.3,-11.6,Pass
PROP_0015,Fenway,1102,5,8,1013457.4,884087.33,0,1013457.4,4.36,-12.77,Pass
PROP_0016,Beacon Hill,3373,3,3,3717322.92,3543592.0,102992,3820314.92,3.71,-7.24,Pass
PROP_0017,Beacon Hill,1628,2,7,1755186.1,1776806.0,33322,1788508.1,3.97,-0.65,Pass
PROP_0018,Beacon Hill,992,2,4,838684.45,1065419.0,68141,906825.45,4.7,17.49,Buy
PROP_0019,Back Bay,3132,5,4,4655114.33,4025614.0,105820,4760934.33,3.21,-15.44,Pass
PROP_0020,Back Bay,1783,3,6,2508509.8,2333026.0,39467,2547976.8,3.48,-8.44,Pass
PROP_0021,Dorchester,1651,4,4,1032367.72,879563.0,98925,1131292.72,4.66,-22.25,Pass
PROP_0022,Dorchester,2581,3,9,1029295.77,1150447.0,0,1029295.77,6.71,11.77,Buy
PROP_0023,Beacon Hill,1906,1,9,1900547.97,1998787.0,0,1900547.97,4.21,5.17,Pass
PROP_0024,Dorchester,1882,3,10,1224151.07,947656.0,0,1224151.07,4.64,-22.59,Pass
PROP_0025,Back Bay,1283,3,8,1693293.58,1733157.0,0,1693293.58,3.89,2.35,Pass
PROP_0026,Seaport,1736,1,1,1181955.1,1659619.67,143264,1325219.1,5.26,25.23,Buy
PROP_0027,Seaport,1298,1,2,1300482.89,1305675.67,50854,1351336.89,4.06,-3.38,Pass
PROP_0028,Seaport,2359,1,10,2062809.9,2257413.33,0,2062809.9,4.6,9.43,Pass
PROP_0029,Dorchester,2295,4,8,1049808.44,1120662.0,0,1049808.44,6.4,6.75,Buy
PROP_0030,Fenway,722,1,2,401956.85,410408.67,115733,517689.85,3.96,-20.72,Pass
PROP_0031,Back Bay,2530,1,6,3787174.99,3129384.0,28895,3816069.99,3.12,-17.99,Pass
PROP_0032,Fenway,2394,4,7,1097084.18,1429611.0,28227,1125311.18,6.35,27.04,Buy
PROP_0033,Dorchester,1088,1,7,524417.44,519079.0,12385,536802.44,5.8,-3.3,Buy
PROP_0034,South End,1240,3,10,961934.6,1100155.0,0,961934.6,5.15,14.37,Pass
PROP_0035,Cambridge,2234,4,9,1830236.08,1661467.67,0,1830236.08,4.36,-9.22,Pass
PROP_0036,Cambridge,1480,2,9,1058670.44,1018949.33,0,1058670.44,4.62,-3.75,Pass
PROP_0037,Beacon Hill,2282,3,8,2666371.93,2386499.0,0,2666371.93,3.58,-10.5,Pass
PROP_0038,Cambridge,2701,1,3,1891578.68,1722816.33,52557,1944135.68,4.25,-11.38,Pass
PROP_0039,Cambridge,2096,3,2,1666137.99,1429666.67,96975,1763112.99,3.89,-18.91,Pass
PROP_0040,Back Bay,1477,2,9,2198954.05,1899905.0,0,2198954.05,3.28,-13.6,Pass
PROP_0041,Seaport,760,4,5,1058104.26,882661.33,31295,1089399.26,3.4,-18.98,Pass
