SKU_ID,Category,ABC_Class,Unit_Price,Annual_Revenue,Avg_Daily_Sales,Lead_Time_Days,Safety_Stock_Qty,Reorder_Point_Qty,Current_Inventory_Qty,Stock_Status,Inventory_Value
SKU_0001,Sports,C,26.24,2161.64,0.2,7,0.0,2.0,2.0,Healthy,31.487999999999996
SKU_0002,Toys,C,141.51,243396.91,4.7,31,12.0,158.0,199.0,Healthy,16896.293999999998
SKU_0003,Apparel,C,240.13,186244.5,2.1,11,3.0,26.0,31.0,Healthy,4466.418
SKU_0004,Toys,C,47.54,18103.29,1.0,37,5.0,43.0,5.0,Critical Low,142.61999999999998
SKU_0005,Toys,C,355.89,217427.14,1.7,13,1.0,23.0,16.0,Healthy,3416.544
SKU_0006,Home & Garden,B,202.9,623981.8,8.4,34,26.0,313.0,241.0,Healthy,29339.34
SKU_0007,Apparel,A,143.61,1907585.65,36.4,22,44.0,845.0,674.0,Healthy,58075.884000000005
SKU_0008,Apparel,C,11.66,45775.69,10.8,30,37.0,360.0,478.0,Healthy,3344.088
SKU_0009,Apparel,B,362.72,472463.51,3.6,24,13.0,99.0,132.0,Healthy,28727.424
SKU_0010,Toys,A,418.57,1950933.07,12.8,42,37.0,574.0,816.0,Healthy,204931.872
SKU_0011,Sports,C,203.57,316474.59,4.3,35,12.0,161.0,97.0,Healthy,11847.774
SKU_0012,Apparel,C,286.47,335708.86,3.2,12,9.0,47.0,60.0,Healthy,10312.92
SKU_0013,Toys,C,121.57,82053.2,1.8,27,5.0,55.0,42.0,Healthy,3063.564
SKU_0014,Home & Garden,C,314.88,103765.04,0.9,29,2.0,29.0,2.0,Critical Low,377.856
SKU_0015,Sports,C,15.95,26937.69,4.6,5,6.0,29.0,19.0,Healthy,181.83
SKU_0016,Home & Garden,B,249.44,813224.06,8.9,22,26.0,222.0,115.0,Healthy,17211.359999999997
SKU_0017,Sports,B,325.66,782152.45,6.6,23,7.0,159.0,220.0,Healthy,42987.12
SKU_0018,Toys,B,459.91,752966.85,4.5,10,10.0,55.0,29.0,Healthy,8002.434
SKU_0019,Electronics,C,196.85,170666.6,2.4,21,5.0,55.0,134.0,Overstock,15826.739999999998
SKU_0020,Sports,A,384.94,2154110.8,15.3,12,11.0,195.0,194.0,Healthy,44807.015999999996
SKU_0021,Home & Garden,C,302.87,168153.35,1.5,13,4.0,24.0,35.0,Healthy,6360.27
