Customer_ID,Segment,Acquisition_Channel,Signup_Date,Churn_Date,Status,MRR,Lifetime_Value
CUST_0001,SMB,Paid Ads,2024-09-21,,Active,99,396
CUST_0002,Enterprise,Paid Ads,2023-06-17,,Active,2500,47500
CUST_0003,Mid-Market,Paid Ads,2023-07-22,,Active,499,8982
CUST_0004,SMB,Referral,2023-07-25,,Active,99,1782
CUST_0005,SMB,Organic,2024-03-25,2024-06-23,Churned,99,297
CUST_0006,SMB,Organic,2024-11-13,,Active,99,198
CUST_0007,SMB,Paid Ads,2024-09-18,,Active,99,396
CUST_0008,Mid-Market,Sales Outbound,2023-12-26,,Active,499,6487
CUST_0009,Mid-Market,Organic,2023-08-22,,Active,499,8483
CUST_0010,Mid-Market,Referral,2024-12-24,,Active,499,499
CUST_0011,SMB,Sales Outbound,2023-04-10,,Active,99,2178
CUST_0012,Enterprise,Sales Outbound,2024-09-26,,Active,2500,10000
CUST_0013,Mid-Market,Sales Outbound,2023-03-08,,Active,499,11477
CUST_0014,SMB,Sales Outbound,2023-09-27,2024-07-23,Churned,99,990
CUST_0015,SMB,Organic,2024-07-13,,Active,99,594
CUST_0016,SMB,Paid Ads,2024-01-18,,Active,99,1188
CUST_0017,SMB,Sales Outbound,2024-11-19,,Active,99,198
CUST_0018,SMB,Referral,2024-05-30,,Active,99,792
CUST_0019,SMB,Referral,2024-10-29,,Active,99,297
CUST_0020,SMB,Paid Ads,2024-10-10,,Active,99,297
CUST_0021,Mid-Market,Organic,2024-06-26,2025-01-22,Churned,499,3493
CUST_0022,SMB,Paid Ads,2024-05-27,,Active,99,792
CUST_0023,SMB,Sales Outbound,2023-11-12,,Active,99,1386
CUST_0024,SMB,Organic,2024-04-28,2024-12-24,Churned,99,792
CUST_0025,SMB,Organic,2023-07-14,2024-11-05,Churned,99,1584
CUST_0026,Mid-Market,Sales Outbound,2023-10-30,,Active,499,7485
CUST_0027,SMB,Referral,2023-06-16,,Active,99,1881
CUST_0028,SMB,Sales Outbound,2024-03-03,,Active,99,1089
CUST_0029,SMB,Paid Ads,2024-08-01,,Active,99,594
CUST_0030,SMB,Sales Outbound,2023-10-05,,Active,99,1584
CUST_0031,Mid-Market,Referral,2023-01-31,2023-10-28,Churned,499,4491
CUST_0032,SMB,Sales Outbound,2024-06-07,,Active,99,693
CUST_0033,SMB,Paid Ads,2023-10-15,,Active,99,1485
