Date,Day_of_Week,Is_Weekend,Data_Type,Predicted_Occupancy,Suggested_ADR,Projected_RevPAR
2023-01-01,6,1,History,0.8575192923052419,225.48552188316688,193.3581851503314
2023-01-02,0,0,History,0.7486459844440515,227.33537222246818,170.19371353644456
2023-01-03,1,0,History,0.6327668260545196,214.14999318460605,135.50701148702018
2023-01-04,2,0,History,0.5576574279880981,212.78980849032047,118.66381730479208
2023-01-05,3,0,History,0.5953606434166776,210.50356329125893,125.32553688258723
2023-01-06,4,0,History,0.6040044520394356,209.3049522892515,126.42112301660957
2023-01-07,5,1,History,0.9087244021410832,234.83231746485706,213.3978572916573
2023-01-08,6,1,History,0.8235711270885946,241.2031806074864,198.64797531026142
2023-01-09,0,0,History,0.6348789233573965,204.29609094853248,129.70328226752906
2023-01-10,1,0,History,0.638331747004116,202.7291795274514,129.40847133646912
2023-01-11,2,0,History,0.7105538686104853,226.72594203492957,161.10099522727586
2023-01-12,3,0,History,0.7304112067649798,209.70954756996144,153.17420371071347
2023-01-13,4,0,History,0.6004265610447501,234.19056609106133,140.61423622717922
2023-01-14,5,1,History,0.8389331307897264,234.69324688456408,196.89194038407354
2023-01-15,6,1,History,0.804814035664008,233.96046472964963,188.2946658048961
2023-01-16,0,0,History,0.7290280703432517,214.81860878909131,156.6087958393331
2023-01-17,1,0,History,0.5811973033846352,204.96708189604806,119.1263152806008
2023-01-18,2,0,History,0.6049229132457011,206.22472015574658,124.75005849989368
2023-01-19,3,0,History,0.7139787746679626,215.97952759010985,154.20479846215204
2023-01-20,4,0,History,0.5629730825922061,212.6269257743189,119.70323584527252
2023-01-21,5,1,History,0.9408689967908248,239.59113929682965,225.42387487017888
2023-01-22,6,1,History,0.8348074641665121,243.65575870749302,203.4056460561698
2023-01-23,0,0,History,0.7201842477630204,248.65024827750025,179.07399201181977
2023-01-24,1,0,History,0.5517293140288531,202.21751900141982,111.5693330432699
2023-01-25,2,0,History,0.5749055695793143,209.01371209369768,120.16314720111407
2023-01-26,3,0,History,0.6376702271346192,217.561843285117,138.73271002344697
2023-01-27,4,0,History,0.7158255357696983,239.697601702905,171.5816641616937
2023-01-28,5,1,History,0.9179846281035989,240.97198495997802,221.20857799687144
2023-01-29,6,1,History,0.9050243223730396,232.21226304072033,210.15774600513797
2023-01-30,0,0,History,0.7413685428972323,211.4734492334662,156.77976291966667
2023-01-31,1,0,History,0.7840626184994693,227.8264223756246,178.6301812911983
2023-02-01,2,0,History,0.7121252053255211,216.72871834201328,154.33798304924323
2023-02-02,3,0,History,0.6495580505756807,235.05589795056807,152.68245084908713
2023-02-03,4,0,History,0.6619581452746793,233.89443873423758,154.82832885457802
2023-02-04,5,1,History,1.0,239.656271720764,239.656271720764
2023-02-05,6,1,History,0.9421609121307727,237.10849017758548,223.3943513796643
2023-02-06,0,0,History,0.6077293537452981,211.5106364533987,128.54122240208068
2023-02-07,1,0,History,0.7188647132827439,235.85873555386203,169.55052230915754
2023-02-08,2,0,History,0.7935857145481278,229.92870281852328,182.46813392136193
2023-02-09,3,0,History,0.7311944241231791,216.64703603243746,158.41110474973175
2023-02-10,4,0,History,0.6738370481455004,216.7948867155228,146.08442651742604
2023-02-11,5,1,History,0.9755920633679311,241.27435769783267,235.38534846420086
2023-02-12,6,1,History,1.0,256.02477209439485,256.02477209439485
2023-02-13,0,0,History,0.7815826468466069,221.06792756801366,172.7828559615021
2023-02-14,1,0,History,0.6547308544795785,210.36872492368815,137.73489502506573
